"Average","Std_Dev","Range","Median","Avg_Time"
7778.3302,312.463044224564,1510.5,7823.93,124.06
20574.542,2270.94170128803,10077.5,20996.95,89.16
31868718000,6328393234.53386,26634200000,32337750000,113.8
571635.14,59008.5689688838,257106,562412.5,121.18
14610540,33319.1799884397,185500,14612900,147.06
-22.708192,0.619173552156256,2.5075,-22.5462,176.16
10.1463,0,0,10.1463,174
244.49012,15.5993362360619,64.295,248.4865,161.28
447.5488,11.9271951079396,52.649,448.8205,200.9
-7139.8674,491.674274643451,2054.78,-7050.315,171.42
-4999.765,390.243889168906,1570.68,-4949.47,240.28
6.30946,0.690824591821474,2.51882,6.48085,185.36
-10.090225,0.451236927255946,1.81409,-10.08495,230.62
-15.6688,0,0,-15.6688,159.8
4434390000,1130333159.68599,5527710000,4486845000,170.52
3116.754,565.632322698794,2600.2,3089.74,187.9
19514.28,2184.96201190533,9502.1,19467.35,90.74
334.03474,23.5229549440194,92.197,337.7415,114.66
