"Average","Std_Dev","Range","Median","Avg_Time"
2058.2568,438.720261830442,1958.65,2067.1,60.68
3022.676,1433.05605636403,4966.14,2830.41,41.52
598618230,442278465.180225,1922789500,499541500,59.54
28924.1894,36251.3381270588,150185.8,32706.7,68.7
400.23846,82.3423075366336,362.359,396.221,78.76
-35.952678,1.08428489691104,4.7885,-35.923,118.08
10.1463,0,0,10.1463,117.88
40.831354,17.8441279073857,75.49597,40.26865,93.34
151.305392,31.4970640406685,129.6478,150.105,138.06
-16331.62,1220.14363440188,6204.6,-16425.25,90.74
-10065.6252,485.96200494059,2003.84,-10144.15,142.68
-9.7624164,1.78247348195606,8.21492,-9.867225,125.08
-26.395806,0.597112664790374,2.678,-26.36085,165.4
-15.6688,0,0,-15.6688,104.8
94064256,81955817.3544526,454582300,73253600,106.86
587.21626,246.614072656937,1052.159,577.0805,117.78
3371.1448,1422.09914543893,6273.49,3317.8,43.36
29.93969,6.52303523842503,32.8005,29.16805,53.4
