17,54,76,137,193,264,278,312,391,423,460,529,565,618,677,741,752,755,822,849,923,987,1046,1077,1120,1175,1217,1273,1303,1391,1462,1548,1554,1567,1621,1648,1740,1815,1872,1955,1961,1968,1970,1973,2019,2079,2141,2224,2297,2300,2371,2405,2445,2458,2548,2610,2666,2694,2747,2818,2823,2902,2975,3070,3093,3142,3159,3199,3254,3278,3359,3447,3509,3521,3566,3604,3639,3717,3753,3799,3897,3972,4058,4121,4188,4275,4343,4344,4431,4518,4525,4559,4560,4651,4658,4713,4805,4872,4891,4978,5029,5091,5177,5197,5292,5353,5401,5484,5523,5614,5692,5733,5794,5884,5941,5945,6003,6024,6092,6161,6179,6258,6327,6362,6387,6455,6469,6478,6552,6633,6685,6778,6822,6879,6968,7049,7118,7216,7294,7364,7397,7467,7489,7551,7632,7697,7758,7823,7885,7904,7949,8031,8109,8203,8217,8236,8301,8315,8324,8353,8364,8434,8498,8588,8674,8686,8726,8775,8782,8877,8959,9054,9125,9166,9255,9313,9398,9458,9549,9552,9601,9647,9663,9703,9713,9732,9791,9841,9906,9970,9976,10038,10105,10182,10276,10349,10408,10491,10537,10616
47,80,82,181,272,301,339,390,489,506,573,665,728,779,832,914,1000,1080,1127,1163,1177,1200,1234,1300,1343,1399,1470,1501,1596,1632,1673,1679,1707,1713,1756,1799,1817,1881,1938,1983,2062,2076,2089,2092,2111,2118,2154,2317,2410,2482,2553,2581,2676,2772,2821,2876,2934,3000,3003,3080,3160,3220,3222,3304,3390,3406,3435,3470,3540,3621,3645,3734,3830,3842,3872,3954,4053,4068,4146,4194,4258,4261,4356,4427,4515,4524,4585,4609,4647,4697,4744,4786,4816,4913,4962,4986,5044,5087,5186,5235,5257,5347,5446,5457,5556,5643,5685,5718,5784,5852,5930,5956,6033,6034,6047,6114,6115,6202,6233,6239,6291,6367,6461,6537,6616,6682,6733,6747,6836,6901,6954,6973,6994,7092,7182,7227,7304,7358,7444,7446,7526,7614,7689,7728,7784,7870,7894,7985,8043,8097,8141,8183,8215,8220,8280,8338,8381,8461,8547,8594,8650,8745,8809,8895,8935,8966,9027,9037,9090,9140,9206,9218,9299,9313,9388,9446,9492,9580,9638,9686,9759,9786,9817,9892,9918,9956,10009,10057,10065,10085,10154,10243,10259,10326,10406,10433,10438,10507,10553,10683
75,162,250,273,310,343,378,461,558,580,608,757,855,921,1013,1043,1110,1150,1203,1296,1327,1372,1379,1449,1507,1508,1566,1583,1668,1709,1765,1799,1861,1932,2013,2021,2065,2160,2212,2262,2343,2388,2476,2569,2619,2638,2688,2713,2801,2807,2852,2881,2883,2937,3024,3095,3176,3198,3255,3271,3359,3418,3423,3475,3498,3519,3540,3629,3698,3770,3828,3924,3961,4016,4089,4144,4190,4268,4359,4368,4464,4557,4635,4674,4694,4769,4787,4821,4869,4918,4987,5075,5105,5139,5161,5252,5259,5260,5328,5402,5451,5467,5474,5521,5646,5732,5771,5820,5898,5926,5952,5966,6129,6131,6219,6309,6358,6427,6471,6561,6619,6626,6640,6687,6735,6771,6833,6834,6899,6949,6957,7024,7104,7190,7287,7291,7362,7441,7472,7491,7548,7702,7716,7772,7858,7872,7912,8080,8087,8179,8191,8208,8274,8316,8383,8390,8441,8540,8640,8705,8766,8793,8867,8920,8995,9067,9096,9106,9205,9245,9256,9276,9305,9388,9436,9542,9600,9607,9655,9779,9842,9915,10001,10054,10097,10111,10117,10183,10242,10305,10324,10352,10451,10477,10485,10552,10553,10642,10730,10762
90,229,307,339,376,440,474,494,581,651,660,758,864,923,1056,1129,1223,1263,1359,1437,1525,1539,1571,1594,1677,1708,1737,1812,1906,1961,2052,2096,2142,2240,2299,2360,2371,2391,2461,2529,2549,2609,2612,2669,2755,2772,2827,2886,2904,2988,3049,3104,3150,3227,3256,3315,3413,3436,3454,3471,3541,3542,3615,3653,3666,3743,3817,3913,3957,4039,4118,4169,4217,4238,4263,4332,4348,4441,4469,4475,4557,4597,4686,4753,4801,4802,4806,4898,4946,4952,4988,5107,5186,5226,5240,5346,5419,5463,5528,5568,5612,5655,5730,5734,5751,5764,5783,5898,5934,5985,6040,6093,6225,6317,6399,6419,6500,6522,6535,6584,6686,6716,6732,6808,6838,6897,6961,7033,7094,7119,7209,7276,7297,7367,7463,7562,7626,7694,7755,7791,7834,7920,7927,7937,7994,8067,8155,8214,8239,8276,8372,8469,8498,8531,8588,8619,8718,8752,8848,8913,8926,9016,9032,9084,9179,9182,9246,9276,9348,9444,9542,9553,9563,9612,9638,9732,9745,9805,9855,9918,9946,9978,10057,10111,10160,10214,10271,10317,10332,10405,10424,10487,10530,10549,10630,10643,10728,10797,10846,10943
142,311,328,408,464,530,587,659,721,804,861,919,930,1021,1098,1198,1271,1326,1405,1455,1555,1649,1732,1780,1861,1878,1935,2028,2076,2143,2162,2227,2276,2281,2344,2447,2469,2561,2602,2643,2661,2736,2774,2829,2904,2930,2932,3022,3101,3162,3243,3310,3328,3329,3411,3447,3478,3563,3655,3661,3739,3811,3894,3933,4007,4084,4169,4248,4262,4355,4443,4468,4501,4555,4617,4677,4713,4745,4843,4846,4892,4960,5035,5073,5115,5208,5244,5341,5342,5405,5491,5545,5578,5649,5650,5671,5742,5822,5844,5888,5893,5959,6030,6099,6174,6243,6279,6333,6372,6396,6451,6456,6496,6552,6560,6579,6635,6642,6654,6693,6720,6761,6821,6832,6869,6962,6978,7100,7119,7215,7293,7329,7385,7397,7500,7563,7676,7737,7813,7826,7890,8007,8060,8080,8164,8229,8257,8316,8318,8354,8437,8476,8521,8556,8659,8698,8799,8805,8915,8920,8964,9105,9126,9197,9283,9331,9381,9383,9462,9471,9591,9619,9689,9716,9786,9822,9870,9927,9938,10036,10074,10111,10130,10168,10224,10288,10296,10381,10449,10472,10565,10659,10748,10762,10819,10901,10917,10969,11036,11105
147,355,357,497,520,628,632,679,748,838,871,944,982,1048,1139,1257,1360,1389,1441,1517,1556,1678,1749,1817,1896,1899,1982,2065,2154,2206,2209,2314,2318,2365,2415,2524,2620,2694,2724,2792,2852,2922,2952,2964,2995,3064,3081,3115,3210,3234,3294,3365,3425,3486,3521,3536,3574,3657,3719,3803,3847,3875,3974,4022,4067,4138,4240,4266,4280,4390,4453,4564,4587,4619,4662,4741,4749,4805,4915,4968,4981,5053,5122,5220,5305,5307,5335,5359,5369,5475,5558,5653,5725,5789,5808,5825,5903,5931,6023,6121,6163,6217,6303,6309,6328,6407,6425,6429,6488,6512,6569,6651,6658,6662,6756,6765,6811,6868,6950,6952,6985,7056,7150,7219,7270,7350,7429,7514,7570,7641,7726,7778,7820,7886,7968,8059,8107,8177,8198,8280,8310,8404,8423,8440,8485,8578,8646,8706,8711,8742,8841,8912,8941,9023,9052,9122,9142,9155,9249,9296,9329,9386,9393,9488,9496,9542,9622,9696,9706,9764,9816,9894,9926,10012,10024,10108,10126,10138,10195,10223,10296,10387,10433,10436,10482,10546,10589,10681,10726,10813,10874,10889,10897,10939,10964,11038,11078,11090,11158,11239
200,398,441,562,647,703,784,867,915,953,1036,1070,1148,1241,1336,1384,1447,1450,1543,1634,1666,1772,1804,1898,1967,2023,2052,2109,2157,2208,2275,2339,2399,2479,2548,2557,2664,2728,2758,2860,2927,2931,3029,3087,3144,3175,3185,3242,3263,3299,3325,3376,3431,3572,3576,3578,3667,3695,3781,3866,3918,3942,3986,4035,4110,4237,4251,4360,4419,4518,4588,4670,4684,4700,4737,4780,4819,4902,5001,5094,5181,5263,5345,5416,5440,5528,5573,5621,5688,5702,5736,5812,5813,5864,5879,5894,5953,6028,6056,6189,6233,6307,6309,6380,6469,6563,6636,6664,6700,6798,6815,6842,6932,6936,6949,7032,7077,7120,7183,7195,7248,7317,7355,7429,7527,7613,7685,7761,7814,7844,7883,7943,8012,8024,8107,8128,8153,8227,8274,8323,8416,8427,8511,8574,8648,8742,8748,8771,8797,8846,8937,8987,9034,9123,9201,9234,9277,9309,9354,9401,9438,9506,9533,9546,9632,9729,9731,9780,9816,9841,9900,9915,9973,10039,10063,10207,10214,10220,10275,10311,10354,10469,10498,10524,10564,10642,10689,10753,10849,10946,10969,10980,11058,11106,11126,11179,11182,11207,11251,11260
255,463,501,649,725,801,814,906,960,987,1135,1219,1222,1308,1376,1477,1547,1625,1670,1745,1753,1863,1884,1970,1985,2085,2158,2201,2225,2287,2327,2382,2495,2531,2587,2646,2687,2807,2850,2926,2984,3065,3084,3089,3229,3270,3341,3401,3473,3490,3515,3574,3669,3716,3755,3765,3859,3898,3951,4001,4100,4176,4239,4298,4328,4395,4413,4501,4572,4656,4668,4679,4725,4759,4777,4817,4886,4954,5091,5119,5194,5344,5411,5507,5574,5625,5679,5764,5774,5869,5928,5992,6082,6110,6158,6217,6228,6295,6319,6327,6366,6410,6411,6491,6549,6610,6695,6785,6874,6966,6969,7020,7021,7076,7126,7141,7196,7227,7326,7417,7485,7568,7643,7709,7807,7884,7892,7898,7924,7963,8054,8132,8181,8204,8296,8364,8452,8461,8499,8559,8613,8621,8692,8778,8840,8934,8975,9041,9050,9125,9145,9154,9164,9243,9317,9371,9381,9478,9517,9547,9561,9635,9723,9775,9865,9877,9938,9952,9999,10015,10061,10152,10211,10233,10285,10328,10349,10439,10497,10549,10623,10653,10744,10776,10839,10858,10918,10936,11024,11091,11092,11152,11184,11226,11321,11351,11363,11455,11506,11563
336,507,553,743,811,814,885,967,1060,1135,1149,1305,1331,1354,1435,1524,1623,1672,1717,1809,1855,1873,1888,1999,2068,2161,2207,2275,2304,2393,2441,2509,2522,2562,2623,2714,2799,2842,2908,2951,3047,3134,3155,3197,3239,3314,3381,3421,3556,3582,3632,3730,3736,3819,3899,3950,3996,4095,4160,4206,4230,4320,4367,4391,4423,4489,4537,4636,4705,4742,4825,4828,4902,4920,4993,5009,5106,5145,5172,5242,5307,5345,5419,5576,5650,5697,5716,5849,5911,5944,6040,6073,6087,6133,6201,6218,6247,6387,6418,6430,6522,6533,6581,6668,6676,6766,6823,6863,6894,6991,7040,7066,7101,7191,7290,7320,7331,7336,7388,7489,7513,7600,7724,7745,7888,7952,7997,8001,8011,8099,8151,8247,8339,8383,8437,8465,8550,8601,8622,8626,8691,8734,8779,8834,8929,9031,9035,9042,9088,9212,9280,9327,9380,9431,9466,9490,9530,9610,9630,9654,9733,9810,9832,9869,9882,9911,9966,10061,10068,10114,10129,10197,10246,10293,10390,10412,10490,10503,10556,10623,10639,10747,10760,10812,10898,10962,10998,11070,11083,11158,11250,11259,11263,11312,11344,11390,11437,11527,11605,11633
383,558,602,767,871,898,977,1026,1136,1231,1235,1381,1448,1497,1502,1549,1646,1749,1816,1871,1890,1930,1988,2025,2104,2184,2290,2355,2397,2488,2565,2627,2633,2643,2700,2778,2886,2890,2968,2979,3146,3218,3278,3348,3401,3424,3511,3561,3579,3606,3714,3746,3842,3879,3919,3979,4015,4121,4216,4249,4302,4373,4379,4486,4549,4633,4646,4685,4752,4834,4840,4859,4918,4927,5020,5059,5186,5223,5285,5366,5418,5432,5518,5583,5651,5750,5771,5882,5979,6007,6065,6142,6213,6273,6342,6371,6454,6476,6556,6626,6699,6787,6878,6916,6976,6991,7029,7048,7080,7094,7129,7139,7183,7288,7307,7370,7395,7417,7436,7520,7570,7607,7805,7863,7890,8041,8042,8122,8174,8185,8282,8372,8434,8503,8537,8603,8657,8741,8803,8874,8915,8975,9044,9098,9150,9249,9320,9329,9359,9382,9430,9431,9498,9553,9632,9676,9740,9761,9777,9871,9949,9960,10039,10129,10177,10262,10296,10323,10374,10416,10431,10502,10568,10596,10604,10612,10656,10657,10672,10739,10745,10798,10859,10927,11018,11051,11137,11214,11283,11338,11389,11397,11404,11493,11554,11643,11690,11750,11760,11769
