94,177,214,236,330,404,425,429,526,584,605,633,691,722,783,827,833,899,998,1081
137,264,352,367,443,471,474,535,605,632,666,742,806,860,958,999,1078,1120,1169,1241
173,362,369,403,466,560,612,625,632,688,695,774,838,906,1018,1105,1190,1216,1252,1300
251,409,433,443,485,620,708,766,861,887,963,1061,1090,1169,1195,1243,1333,1410,1495,1550
309,493,498,537,560,674,774,831,929,941,1033,1143,1242,1258,1299,1310,1338,1440,1553,1584
395,570,649,723,776,868,879,976,1030,1084,1141,1196,1307,1358,1394,1413,1469,1509,1577,1587
408,572,686,814,907,916,924,1048,1091,1179,1206,1228,1357,1407,1489,1585,1596,1656,1740,1807
413,590,724,842,976,980,998,1076,1148,1204,1301,1352,1441,1447,1579,1646,1650,1731,1744,1887
477,660,742,890,1034,1059,1074,1125,1232,1323,1379,1389,1503,1579,1678,1761,1775,1849,1945,2031
568,751,849,894,1076,1091,1175,1205,1302,1331,1474,1553,1562,1655,1704,1827,1830,1916,2016,2093
