0,39,105,173,223,257,350,431,458,501,591,630,678,756,802,850,851,943,1027,1092
39,105,189,246,324,367,431,504,570,635,691,700,756,833,916,1013,1106,1158,1171,1210
41,189,246,324,367,386,504,570,655,742,785,795,865,950,1032,1123,1208,1290,1307,1311
95,244,285,360,445,543,586,685,742,822,910,970,991,1036,1123,1208,1290,1308,1337,1383
136,248,338,445,543,587,685,738,822,915,1007,1105,1120,1140,1187,1267,1308,1391,1475,1488
185,299,369,454,587,682,719,769,915,1007,1105,1201,1234,1295,1363,1444,1524,1552,1621,1717
242,321,378,529,682,719,795,846,951,1071,1201,1234,1326,1363,1444,1524,1570,1640,1717,1791
305,352,453,575,701,795,870,952,1040,1165,1207,1326,1424,1489,1579,1589,1640,1686,1769,1879
352,432,499,648,774,870,963,988,1101,1168,1263,1424,1497,1579,1659,1665,1738,1771,1828,1901
417,440,505,719,861,963,988,1064,1153,1217,1299,1497,1592,1666,1724,1752,1771,1806,1870,1919
426,447,588,726,925,969,1062,1153,1156,1257,1332,1592,1671,1750,1760,1837,1901,1981,2065,2111
447,533,625,775,943,1062,1117,1175,1241,1306,1359,1671,1750,1801,1837,1926,2009,2103,2177,2196
533,622,665,778,950,1116,1175,1199,1263,1359,1447,1726,1801,1856,1937,2029,2103,2177,2256,2353
622,633,718,838,976,1129,1191,1254,1345,1447,1494,1785,1879,1937,2029,2046,2126,2256,2353,2394
623,718,807,866,993,1184,1207,1345,1417,1494,1540,1879,1967,2016,2064,2138,2232,2318,2412,2465
718,769,866,946,1080,1199,1255,1417,1458,1524,1600,1967,2016,2114,2138,2232,2318,2412,2449,2536
769,865,946,988,1112,1230,1324,1449,1524,1585,1663,1968,2114,2121,2157,2270,2375,2455,2530,2608
865,950,1014,1058,1121,1293,1418,1480,1531,1663,1741,2033,2121,2186,2254,2328,2455,2530,2577,2646
950,1014,1051,1136,1224,1331,1480,1491,1585,1741,1779,2071,2186,2285,2358,2440,2510,2572,2639,2743
960,1044,1136,1224,1257,1392,1487,1585,1589,1771,1813,2081,2285,2374,2449,2510,2572,2639,2699,2792
