37,117,159,210,250,339,410,485,489,584,636,640,738,797,852,896,992,1045,1047,1104,1137,1139,1192,1281,1354,1400,1491,1575,1670,1684,1746,1750,1845,1866,1878,1975,2016,2084,2118,2138,2166,2264,2272,2357,2443,2503,2547,2630,2667,2695
111,163,232,289,357,428,486,556,631,730,793,810,843,925,931,984,1083,1098,1102,1125,1215,1229,1260,1291,1387,1499,1504,1655,1763,1781,1799,1889,1906,1997,2057,2106,2203,2255,2337,2344,2368,2409,2484,2582,2675,2722,2746,2796,2838,2893
177,189,311,378,431,493,504,651,744,765,875,955,1040,1113,1189,1235,1270,1302,1315,1338,1340,1406,1501,1541,1546,1620,1644,1742,1830,1854,1891,1910,1975,2045,2138,2144,2281,2346,2370,2429,2464,2546,2636,2666,2738,2747,2781,2816,2886,2909
230,257,357,404,457,498,545,717,797,823,891,1041,1093,1149,1251,1327,1386,1482,1553,1584,1631,1697,1705,1741,1777,1798,1801,1838,1910,1986,2007,2054,2121,2207,2236,2292,2353,2448,2465,2514,2585,2666,2722,2798,2864,2919,2987,3056,3149,3177
291,377,436,520,553,597,607,752,820,878,954,1068,1153,1228,1348,1369,1442,1566,1658,1717,1727,1797,1822,1900,1975,2001,2079,2109,2185,2264,2302,2340,2398,2464,2484,2556,2585,2670,2677,2685,2724,2766,2833,2853,2888,2927,3070,3084,3158,3251
309,454,543,557,633,643,724,814,880,914,1048,1087,1192,1238,1415,1462,1470,1631,1713,1783,1874,1927,1942,2018,2041,2056,2103,2127,2281,2336,2390,2402,2498,2525,2610,2702,2743,2820,2875,2881,2909,2950,2980,3065,3082,3158,3223,3316,3372,3460
365,473,636,726,800,828,925,957,979,1000,1127,1134,1206,1322,1504,1512,1545,1645,1745,1828,1912,1989,2067,2104,2113,2150,2167,2193,2305,2361,2488,2556,2577,2624,2638,2791,2820,2880,2923,2987,3019,3106,3107,3206,3240,3252,3327,3416,3473,3485
447,525,660,775,822,886,1021,1076,1121,1127,1149,1151,1291,1420,1531,1579,1657,1706,1829,1886,2005,2036,2072,2182,2244,2312,2382,2432,2482,2503,2586,2622,2693,2717,2756,2877,2954,2983,3016,3046,3113,3196,3285,3329,3367,3455,3511,3564,3629,3675
468,584,724,858,904,984,1091,1168,1244,1257,1337,1413,1485,1531,1550,1596,1743,1820,1900,1978,2064,2085,2089,2264,2266,2369,2450,2522,2615,2640,2733,2776,2843,2925,2994,3027,3104,3118,3183,3213,3246,3331,3416,3486,3521,3531,3534,3613,3704,3763
479,589,774,918,991,1000,1134,1225,1339,1342,1438,1468,1562,1650,1684,1750,1831,1908,2001,2085,2130,2228,2283,2381,2403,2425,2481,2592,2673,2737,2769,2808,2854,3016,3046,3141,3189,3214,3253,3257,3267,3418,3449,3487,3617,3696,3710,3717,3727,3777
