0,37,117,159,210,250,339,410,485,489,584,636,640,738,797,852,896,992,1045,1047,1104,1137,1139,1192,1281,1354,1400,1491,1575,1670,1684,1746,1750,1845,1866,1878,1975,2016,2084,2118,2138,2166,2264,2272,2357,2443,2503,2547,2630,2667
37,117,163,232,289,357,428,486,556,631,730,793,810,843,925,931,992,1083,1098,1104,1137,1215,1229,1281,1354,1400,1499,1575,1670,1763,1781,1799,1889,1906,1997,2057,2106,2203,2255,2337,2344,2368,2409,2484,2582,2675,2722,2746,2796,2838
111,177,232,311,378,431,493,556,651,744,793,875,955,1040,1113,1189,1235,1270,1302,1315,1338,1340,1406,1501,1541,1546,1620,1655,1763,1830,1854,1891,1910,1997,2057,2138,2203,2281,2346,2370,2429,2464,2546,2636,2675,2738,2747,2796,2838,2893
177,230,311,378,431,493,504,651,744,797,875,955,1041,1113,1189,1251,1327,1386,1482,1553,1584,1631,1697,1705,1741,1777,1798,1801,1838,1910,1986,2007,2054,2121,2207,2236,2292,2353,2448,2465,2514,2585,2666,2722,2798,2864,2919,2987,3056,3149
230,291,377,436,520,553,597,717,797,823,891,1041,1093,1153,1251,1348,1386,1482,1566,1658,1717,1727,1797,1822,1900,1975,2001,2079,2109,2185,2264,2302,2340,2398,2464,2484,2556,2585,2670,2677,2685,2724,2766,2833,2864,2919,2987,3070,3149,3177
291,377,454,543,557,633,643,752,820,880,954,1068,1153,1228,1348,1415,1462,1566,1658,1717,1783,1874,1927,1942,2018,2041,2079,2109,2185,2281,2336,2390,2402,2498,2525,2610,2702,2743,2820,2875,2881,2909,2950,2980,3065,3082,3158,3223,3316,3372
309,454,543,636,726,800,828,925,957,979,1048,1127,1192,1238,1415,1504,1512,1631,1713,1783,1874,1927,1989,2067,2104,2113,2150,2167,2281,2336,2390,2488,2556,2577,2624,2702,2791,2820,2880,2923,2987,3019,3106,3107,3206,3240,3252,3327,3416,3473
365,473,636,726,800,828,925,1021,1076,1121,1127,1149,1206,1322,1504,1531,1579,1657,1745,1829,1912,2005,2067,2104,2182,2244,2312,2382,2432,2482,2503,2586,2622,2693,2717,2791,2877,2954,2983,3016,3046,3113,3196,3285,3329,3367,3455,3511,3564,3629
447,525,660,775,858,904,1021,1091,1168,1244,1257,1337,1413,1485,1531,1579,1657,1743,1829,1900,2005,2064,2085,2182,2264,2312,2382,2450,2522,2615,2640,2733,2776,2843,2925,2994,3027,3104,3118,3183,3213,3246,3331,3416,3486,3521,3531,3564,3629,3704
468,584,724,858,918,991,1091,1168,1244,1339,1342,1438,1485,1562,1650,1684,1750,1831,1908,2001,2085,2130,2228,2283,2381,2403,2450,2522,2615,2673,2737,2776,2843,2925,3016,3046,3141,3189,3214,3253,3257,3331,3418,3486,3521,3617,3696,3710,3717,3763
479,589,774,918,997,1014,1134,1226,1339,1385,1438,1491,1562,1650,1727,1782,1870,1937,2017,2085,2178,2271,2307,2381,2415,2489,2587,2626,2673,2737,2816,2881,2953,3016,3046,3141,3189,3214,3271,3346,3441,3486,3574,3651,3745,3784,3797,3840,3865,3958
482,679,873,997,1018,1074,1226,1289,1385,1429,1496,1550,1635,1727,1782,1870,1937,2017,2098,2178,2276,2349,2446,2466,2562,2588,2634,2699,2714,2816,2913,2953,3014,3046,3108,3189,3250,3281,3356,3441,3533,3581,3651,3745,3841,3892,3928,3972,3999,4071
563,769,898,1018,1074,1122,1289,1366,1448,1529,1619,1690,1747,1772,1849,1912,1955,2098,2164,2276,2364,2446,2490,2562,2597,2675,2734,2810,2888,2914,2949,3018,3041,3097,3172,3253,3281,3356,3425,3533,3581,3613,3700,3841,3917,4015,4080,4164,4259,4353
616,837,957,1061,1149,1214,1308,1448,1529,1619,1712,1747,1799,1873,1912,1985,2051,2124,2262,2364,2419,2490,2551,2607,2675,2734,2829,2888,2939,3024,3070,3167,3263,3279,3303,3374,3450,3467,3497,3549,3639,3700,3737,3917,4015,4106,4165,4259,4353,4404
655,903,1006,1149,1244,1326,1416,1511,1592,1712,1765,1860,1936,2019,2075,2089,2173,2242,2344,2440,2494,2551,2607,2687,2689,2829,2881,2939,3024,3070,3167,3263,3314,3393,3404,3450,3540,3550,3633,3650,3733,3737,3824,4005,4106,4165,4204,4328,4404,4457
746,968,1060,1244,1326,1416,1467,1533,1622,1765,1860,1936,2019,2075,2096,2173,2242,2322,2440,2494,2537,2589,2687,2706,2791,2867,2906,3023,3071,3130,3233,3314,3396,3433,3464,3540,3617,3685,3704,3768,3800,3830,3926,4039,4129,4187,4293,4381,4457,4554
821,979,1138,1253,1378,1467,1531,1583,1666,1845,1907,1999,2063,2096,2190,2226,2322,2352,2480,2537,2603,2677,2760,2802,2900,2923,2987,3071,3130,3227,3282,3396,3451,3464,3500,3617,3685,3706,3787,3838,3930,3932,3988,4103,4153,4246,4378,4449,4520,4612
838,1043,1149,1299,1427,1531,1613,1711,1745,1907,1999,2079,2119,2197,2274,2319,2404,2494,2592,2669,2713,2760,2802,2900,2947,3030,3118,3179,3227,3298,3358,3451,3530,3628,3715,3811,3885,3961,3988,4063,4096,4169,4181,4232,4248,4340,4449,4517,4609,4670
842,1109,1204,1308,1440,1613,1711,1804,1846,1945,2079,2140,2197,2274,2319,2414,2494,2592,2669,2728,2820,2847,2881,2958,3030,3118,3192,3270,3316,3375,3424,3530,3628,3715,3811,3896,3962,4057,4099,4115,4178,4226,4234,4299,4333,4371,4517,4609,4646,4742
937,1151,1220,1400,1442,1708,1804,1891,1922,2031,2140,2214,2313,2382,2430,2494,2556,2650,2728,2820,2859,2921,2962,3025,3122,3192,3276,3316,3375,3472,3519,3583,3700,3719,3896,3962,4057,4108,4165,4256,4316,4359,4449,4525,4537,4626,4666,4722,4772,4801
