63,121,177,251,340,399,467,540,637,715,758,803,900,979,1071,1158,1230,1327,1398,1476,1574,1646,1732,1787,1876,1946,2035,2134,2209,2305,2395,2482,2578,2676,2775,2827,2918,3004,3099,3174,3233,3304,3392,3491,3581,3643,3708,3804,3890,3948,4043,4130,4189,4276,4374,4436,4532,4627,4712,4778,4869,4964,5038,5131,5229,5326,5410,5487,5575,5661,5723,5792,5870,5914,6010,6105,6193,6254,6352,6429,6511,6596,6689,6723,6817,6888,6984,7064,7149,7240,7328,7422,7503,7589,7673,7729,7817,7889,7976,8072
89,177,251,340,399,446,540,637,715,758,803,900,971,1071,1158,1230,1327,1398,1476,1574,1646,1732,1787,1876,1946,2035,2133,2209,2303,2395,2462,2566,2621,2775,2827,2918,3004,3099,3144,3231,3304,3392,3491,3580,3643,3708,3804,3890,3948,4021,4122,4189,4260,4374,4433,4532,4627,4712,4778,4869,4964,5038,5110,5229,5326,5410,5487,5575,5610,5723,5775,5870,5914,6010,6105,6168,6254,6352,6415,6486,6596,6689,6723,6806,6888,6984,7057,7149,7240,7328,7422,7503,7581,7673,7729,7817,7889,7976,8072,8166
177,207,340,399,446,519,579,694,758,803,900,971,1050,1158,1230,1327,1398,1476,1574,1646,1702,1787,1876,1936,2035,2133,2209,2303,2380,2462,2517,2609,2672,2813,2918,3000,3061,3144,3231,3300,3392,3491,3580,3643,3708,3804,3865,3948,4021,4091,4174,4227,4315,4409,4532,4627,4712,4778,4869,4961,5038,5110,5207,5297,5410,5482,5559,5610,5703,5773,5870,5914,6010,6088,6168,6254,6352,6415,6486,6550,6642,6723,6806,6888,6984,7057,7149,7240,7328,7422,7496,7581,7673,7729,7817,7889,7976,8072,8166,8253
207,239,342,443,519,579,664,717,803,900,971,1050,1133,1230,1327,1398,1476,1574,1625,1677,1771,1839,1936,2028,2133,2209,2303,2330,2382,2490,2609,2672,2766,2899,2993,3061,3137,3231,3286,3373,3439,3544,3612,3659,3766,3865,3948,4021,4081,4174,4227,4315,4409,4501,4627,4712,4778,4869,4961,5038,5110,5207,5297,5395,5460,5559,5610,5703,5773,5828,5914,6010,6088,6168,6254,6352,6415,6486,6550,6642,6723,6806,6888,6984,7057,7149,7240,7328,7422,7496,7581,7633,7729,7817,7863,7960,8072,8165,8247,8306
224,333,374,497,579,664,717,803,872,971,1050,1133,1184,1327,1398,1476,1574,1625,1672,1771,1839,1936,1990,2101,2209,2303,2317,2377,2460,2552,2626,2766,2792,2993,3039,3129,3231,3286,3369,3417,3497,3612,3658,3743,3825,3889,3979,4081,4139,4227,4315,4409,4501,4571,4712,4778,4869,4961,5038,5110,5207,5297,5395,5460,5559,5610,5703,5773,5828,5911,6010,6088,6168,6254,6304,6415,6486,6550,6629,6723,6806,6888,6984,7057,7149,7240,7328,7422,7475,7559,7633,7729,7817,7863,7960,8055,8165,8247,8306,8402
248,374,417,511,663,717,803,872,971,1050,1133,1184,1250,1398,1457,1541,1625,1666,1748,1839,1911,1972,2036,2165,2221,2312,2377,2460,2552,2626,2704,2792,2883,2995,3084,3186,3234,3369,3389,3497,3593,3658,3743,3797,3889,3979,4069,4139,4227,4315,4409,4501,4556,4655,4778,4852,4961,5038,5077,5207,5276,5395,5460,5559,5610,5703,5773,5828,5911,6010,6088,6168,6254,6304,6397,6486,6550,6629,6723,6806,6888,6984,7057,7149,7240,7328,7422,7464,7554,7633,7729,7790,7863,7960,8051,8133,8247,8306,8402,8490
322,417,488,567,717,776,838,911,1050,1133,1184,1248,1332,1457,1502,1579,1666,1748,1839,1911,1972,2036,2128,2202,2299,2370,2460,2552,2626,2699,2792,2883,2962,3018,3122,3234,3301,3377,3454,3593,3658,3743,3791,3887,3979,4069,4139,4227,4312,4409,4501,4556,4655,4733,4852,4940,5010,5059,5162,5276,5355,5451,5559,5610,5660,5770,5828,5911,6010,6088,6168,6218,6304,6397,6486,6550,6629,6723,6806,6888,6984,7057,7149,7240,7306,7422,7464,7554,7633,7715,7790,7863,7960,8051,8133,8209,8306,8402,8490,8571
396,488,567,643,776,819,911,971,1133,1172,1248,1332,1427,1485,1577,1666,1748,1839,1911,1972,2036,2128,2202,2299,2370,2460,2552,2626,2699,2791,2883,2962,3018,3106,3184,3268,3352,3454,3528,3658,3743,3791,3887,3979,4069,4139,4227,4312,4409,4501,4556,4655,4733,4809,4861,4960,5059,5149,5233,5355,5446,5511,5583,5642,5730,5828,5910,6010,6088,6168,6218,6304,6397,6486,6550,6629,6723,6799,6888,6956,7042,7149,7240,7306,7392,7464,7554,7633,7715,7790,7863,7957,8051,8133,8209,8306,8402,8463,8571,8659
488,567,642,717,819,911,971,1066,1172,1248,1332,1404,1485,1577,1666,1748,1839,1887,1972,2036,2105,2202,2299,2370,2453,2546,2626,2689,2786,2875,2962,3018,3106,3184,3257,3320,3403,3528,3605,3743,3791,3886,3979,4069,4139,4219,4312,4377,4470,4556,4651,4733,4809,4861,4960,5059,5149,5233,5308,5446,5511,5583,5642,5730,5821,5890,5989,6088,6168,6218,6304,6376,6449,6550,6615,6723,6799,6860,6956,7042,7135,7229,7295,7392,7464,7554,7633,7715,7790,7863,7957,8051,8133,8209,8291,8402,8463,8562,8659,8754
567,642,717,762,911,971,1066,1156,1248,1332,1404,1485,1577,1666,1735,1822,1887,1972,2024,2105,2191,2299,2370,2453,2546,2626,2689,2786,2875,2962,3018,3081,3184,3257,3320,3399,3447,3560,3704,3791,3868,3967,4058,4097,4189,4264,4377,4470,4556,4616,4733,4805,4861,4960,5059,5132,5233,5308,5365,5511,5583,5642,5730,5817,5890,5970,6004,6096,6206,6304,6376,6447,6541,6615,6695,6776,6860,6956,7042,7135,7213,7294,7392,7464,7554,7633,7714,7790,7863,7957,8051,8133,8209,8291,8350,8463,8562,8659,8754,8785
