Average the heights of 20 random trees

  n   |    ratio of average height to log2n
1000 | 2.0871413032702697
2000 | 2.165827758733069
4000 | 2.177040750549988
8000 | 2.2636501854129776
16000 | 2.248352069599487

  n   |    ratio of average height to log2n
1000 | 2.112227136242268
2000 | 2.124791022251811
4000 | 2.273148115737415
8000 | 2.178811507254399
16000 | 2.2841538541472497

  n   |    ratio of average height to log2n
1000 | 2.1423301358086664
2000 | 2.225103044761553
4000 | 2.177040750549988
8000 | 2.244368667649664
16000 | 2.25551242650904

  n   |    ratio of average height to log2n
1000 | 2.1423301358086664
2000 | 2.165827758733069
4000 | 2.227183723691254
8000 | 2.255937578307652
16000 | 2.2948943895115783
