"(75.34, 0.753)","(79.91, 0.802)","(74.43, 0.741)","(75.34, 0.753)","(76.26, 0.763)","(79.91, 0.802)","(76.26, 0.763)","(78.54, 0.788)","(75.8, 0.753)","(75.34, 0.753)","(76.26, 0.763)","(78.54, 0.787)","(79.0, 0.793)","(82.19, 0.827)","(80.37, 0.807)","(75.34, 0.753)","(81.28, 0.818)","(79.91, 0.804)","(75.34, 0.748)","(75.34, 0.752)"
"(76.26, 0.763)","(73.97, 0.74)","(82.19, 0.828)","(75.34, 0.753)","(75.34, 0.753)","(76.26, 0.761)","(79.0, 0.792)","(80.37, 0.812)","(80.37, 0.807)","(75.34, 0.753)","(76.71, 0.768)","(74.89, 0.747)","(76.71, 0.768)","(74.89, 0.748)","(75.34, 0.753)","(79.45, 0.797)","(77.17, 0.772)","(78.08, 0.783)","(75.8, 0.758)","(76.71, 0.768)"
"(82.19, 0.829)","(74.89, 0.748)","(78.54, 0.787)","(82.65, 0.832)","(75.8, 0.758)","(81.28, 0.817)","(80.37, 0.807)","(79.0, 0.799)","(75.8, 0.757)","(75.34, 0.751)","(79.0, 0.793)","(76.71, 0.768)","(81.28, 0.817)","(79.45, 0.797)","(80.82, 0.813)","(78.08, 0.783)","(76.71, 0.763)","(80.82, 0.812)","(75.8, 0.758)","(78.08, 0.782)"
"(82.19, 0.829)","(82.19, 0.828)","(75.34, 0.751)","(80.82, 0.812)","(76.26, 0.763)","(77.17, 0.772)","(79.91, 0.802)","(78.08, 0.779)","(77.63, 0.778)","(83.11, 0.833)","(75.8, 0.757)","(75.8, 0.758)","(78.54, 0.78)","(75.8, 0.758)","(78.54, 0.788)","(75.34, 0.753)","(78.08, 0.782)","(76.71, 0.768)","(75.34, 0.753)","(75.34, 0.751)"
"(75.34, 0.753)","(81.74, 0.823)","(81.74, 0.821)","(79.0, 0.8)","(77.17, 0.772)","(77.17, 0.772)","(79.91, 0.802)","(76.71, 0.768)","(75.8, 0.757)","(76.26, 0.763)","(75.8, 0.758)","(75.34, 0.753)","(78.54, 0.788)","(80.37, 0.808)","(76.26, 0.759)","(76.71, 0.768)","(75.8, 0.758)","(75.8, 0.758)","(77.17, 0.768)","(75.8, 0.757)"
"(82.19, 0.826)","(74.89, 0.749)","(75.34, 0.753)","(77.17, 0.773)","(79.91, 0.805)","(75.8, 0.756)","(75.8, 0.758)","(75.8, 0.758)","(77.63, 0.772)","(80.37, 0.808)","(84.47, 0.847)","(75.34, 0.753)","(78.08, 0.783)","(80.37, 0.808)","(76.71, 0.768)","(76.71, 0.762)","(75.8, 0.758)","(79.91, 0.798)","(75.34, 0.753)","(80.37, 0.811)"
"(84.47, 0.85)","(81.74, 0.824)","(74.89, 0.747)","(75.8, 0.758)","(76.71, 0.768)","(77.63, 0.777)","(79.91, 0.806)","(79.91, 0.804)","(78.54, 0.787)","(75.8, 0.755)","(79.0, 0.791)","(75.8, 0.758)","(75.8, 0.756)","(80.37, 0.812)","(75.8, 0.758)","(79.0, 0.793)","(74.89, 0.748)","(76.71, 0.768)","(75.8, 0.758)","(78.54, 0.78)"
"(75.34, 0.753)","(79.91, 0.803)","(79.45, 0.797)","(76.26, 0.761)","(79.91, 0.806)","(75.34, 0.753)","(80.82, 0.811)","(80.82, 0.816)","(75.8, 0.758)","(81.28, 0.82)","(79.0, 0.793)","(80.82, 0.812)","(78.54, 0.786)","(80.82, 0.813)","(79.45, 0.801)","(75.34, 0.753)","(76.26, 0.763)","(84.93, 0.851)","(76.26, 0.763)","(85.39, 0.854)"
"(75.34, 0.753)","(74.89, 0.748)","(75.34, 0.753)","(80.37, 0.807)","(76.26, 0.761)","(73.52, 0.723)","(76.26, 0.761)","(75.34, 0.753)","(76.26, 0.763)","(76.26, 0.763)","(80.37, 0.807)","(80.82, 0.812)","(78.54, 0.78)","(75.8, 0.758)","(77.63, 0.778)","(78.54, 0.78)","(75.8, 0.758)","(77.17, 0.766)","(75.8, 0.757)","(75.34, 0.752)"
"(82.65, 0.833)","(79.45, 0.798)","(74.89, 0.747)","(84.47, 0.844)","(79.91, 0.802)","(84.47, 0.847)","(75.34, 0.753)","(84.93, 0.851)","(72.6, 0.714)","(76.71, 0.76)","(76.26, 0.76)","(75.34, 0.753)","(75.34, 0.752)","(82.65, 0.83)","(81.28, 0.817)","(84.93, 0.848)","(75.8, 0.758)","(75.34, 0.752)","(87.67, 0.876)","(75.8, 0.758)"
"(84.93, 0.855)","(81.28, 0.818)","(75.8, 0.756)","(81.74, 0.825)","(79.91, 0.806)","(78.54, 0.778)","(75.8, 0.758)","(75.8, 0.756)","(75.8, 0.758)","(75.8, 0.758)","(86.76, 0.868)","(80.82, 0.81)","(79.0, 0.792)","(80.82, 0.812)","(87.21, 0.875)","(76.26, 0.763)","(86.3, 0.862)","(80.37, 0.804)","(75.34, 0.753)","(86.3, 0.862)"
"(84.47, 0.85)","(81.28, 0.818)","(75.8, 0.755)","(75.34, 0.753)","(76.26, 0.759)","(75.8, 0.758)","(75.8, 0.758)","(84.93, 0.854)","(78.54, 0.788)","(76.71, 0.768)","(81.28, 0.82)","(75.8, 0.756)","(85.39, 0.856)","(75.8, 0.756)","(75.34, 0.752)","(87.21, 0.876)","(78.54, 0.791)","(76.26, 0.763)","(79.91, 0.803)","(82.65, 0.826)"
"(75.34, 0.753)","(75.34, 0.753)","(83.11, 0.838)","(78.08, 0.782)","(79.91, 0.806)","(80.82, 0.812)","(80.82, 0.813)","(81.74, 0.822)","(77.63, 0.769)","(75.34, 0.753)","(88.58, 0.887)","(79.45, 0.798)","(75.34, 0.753)","(76.26, 0.763)","(87.21, 0.876)","(75.34, 0.753)","(75.34, 0.753)","(79.91, 0.808)","(79.0, 0.791)","(82.65, 0.831)"
"(75.8, 0.754)","(75.34, 0.755)","(82.19, 0.826)","(79.0, 0.792)","(77.17, 0.768)","(77.63, 0.772)","(81.28, 0.821)","(75.34, 0.753)","(83.56, 0.838)","(80.37, 0.808)","(79.91, 0.804)","(86.76, 0.866)","(88.13, 0.884)","(87.67, 0.88)","(77.17, 0.772)","(79.91, 0.799)","(76.71, 0.768)","(75.34, 0.753)","(80.82, 0.812)","(80.82, 0.812)"
"(75.34, 0.753)","(74.89, 0.748)","(75.34, 0.753)","(75.34, 0.753)","(76.26, 0.761)","(75.34, 0.751)","(78.54, 0.787)","(75.8, 0.757)","(73.97, 0.729)","(76.26, 0.763)","(75.34, 0.753)","(75.8, 0.757)","(79.0, 0.783)","(75.8, 0.758)","(77.63, 0.777)","(75.8, 0.758)","(78.54, 0.787)","(75.8, 0.757)","(82.19, 0.823)","(75.34, 0.753)"
"(83.11, 0.835)","(76.26, 0.758)","(81.74, 0.821)","(78.54, 0.779)","(76.26, 0.763)","(81.74, 0.821)","(83.56, 0.838)","(79.0, 0.8)","(75.8, 0.758)","(78.54, 0.787)","(75.8, 0.758)","(77.17, 0.768)","(81.28, 0.816)","(78.54, 0.78)","(78.54, 0.791)","(75.8, 0.758)","(78.08, 0.783)","(79.91, 0.802)","(79.45, 0.8)","(72.6, 0.713)"
"(82.65, 0.83)","(75.8, 0.759)","(83.56, 0.841)","(75.34, 0.753)","(84.02, 0.84)","(75.34, 0.753)","(75.8, 0.758)","(78.08, 0.783)","(76.71, 0.768)","(75.34, 0.753)","(80.82, 0.816)","(82.19, 0.821)","(79.45, 0.801)","(76.71, 0.764)","(80.82, 0.812)","(79.91, 0.804)","(83.56, 0.837)","(75.34, 0.753)","(76.71, 0.778)","(77.17, 0.768)"
"(75.34, 0.753)","(74.89, 0.748)","(75.34, 0.753)","(78.08, 0.783)","(79.91, 0.806)","(75.8, 0.758)","(79.91, 0.802)","(79.0, 0.792)","(75.8, 0.758)","(82.65, 0.832)","(65.75, 0.674)","(82.65, 0.824)","(52.51, 0.5)","(84.93, 0.848)","(85.39, 0.854)","(75.8, 0.757)","(87.67, 0.876)","(76.71, 0.768)","(79.91, 0.808)","(89.5, 0.895)"
