#row/#columns,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,"(85.84, 0.861)","(86.76, 0.872)","(85.39, 0.856)","(85.84, 0.861)","(87.21, 0.874)","(87.21, 0.875)","(89.5, 0.897)","(89.04, 0.892)","(87.67, 0.879)","(88.13, 0.884)","(88.13, 0.884)","(87.21, 0.875)","(88.13, 0.883)","(88.13, 0.884)","(87.21, 0.875)","(88.13, 0.884)","(87.21, 0.875)","(89.5, 0.897)","(87.67, 0.879)","(87.67, 0.879)"
2,"(86.3, 0.865)","(86.3, 0.866)","(86.76, 0.869)","(85.84, 0.861)","(87.21, 0.874)","(87.67, 0.878)","(88.58, 0.887)","(87.67, 0.878)","(86.76, 0.869)","(87.21, 0.874)","(88.58, 0.888)","(88.58, 0.888)","(88.58, 0.888)","(87.21, 0.874)","(87.21, 0.874)","(87.21, 0.874)","(88.58, 0.888)","(89.04, 0.892)","(87.21, 0.875)","(88.13, 0.883)"
3,"(88.58, 0.889)","(88.13, 0.884)","(88.13, 0.883)","(87.67, 0.879)","(88.13, 0.883)","(88.58, 0.889)","(89.5, 0.897)","(89.04, 0.893)","(89.95, 0.901)","(89.04, 0.892)","(89.5, 0.897)","(90.41, 0.907)","(88.58, 0.888)","(89.5, 0.898)","(89.5, 0.897)","(89.95, 0.902)","(90.87, 0.912)","(89.5, 0.898)","(88.58, 0.889)","(89.04, 0.894)"
4,"(87.67, 0.878)","(85.84, 0.861)","(86.3, 0.865)","(87.21, 0.874)","(90.41, 0.905)","(87.67, 0.878)","(89.04, 0.892)","(88.58, 0.888)","(89.5, 0.896)","(88.58, 0.888)","(88.58, 0.888)","(89.5, 0.897)","(88.13, 0.882)","(87.67, 0.878)","(88.13, 0.883)","(88.13, 0.882)","(89.04, 0.892)","(87.67, 0.878)","(89.5, 0.897)","(88.13, 0.883)"
5,"(92.69, 0.927)","(92.24, 0.923)","(89.5, 0.896)","(89.95, 0.901)","(93.61, 0.936)","(90.87, 0.909)","(90.41, 0.904)","(91.78, 0.919)","(92.24, 0.923)","(92.24, 0.923)","(91.78, 0.919)","(92.24, 0.922)","(92.69, 0.928)","(91.32, 0.913)","(93.15, 0.931)","(92.69, 0.928)","(93.15, 0.932)","(91.78, 0.919)","(93.15, 0.933)","(92.69, 0.928)"
6,"(90.41, 0.905)","(88.58, 0.888)","(87.67, 0.878)","(89.95, 0.902)","(92.24, 0.922)","(90.87, 0.91)","(90.41, 0.905)","(90.87, 0.91)","(91.78, 0.919)","(90.87, 0.91)","(90.87, 0.909)","(91.32, 0.915)","(89.5, 0.896)","(89.95, 0.9)","(90.41, 0.905)","(89.5, 0.896)","(90.41, 0.905)","(90.87, 0.909)","(88.58, 0.888)","(90.87, 0.91)"
7,"(92.69, 0.927)","(90.41, 0.905)","(89.95, 0.901)","(90.41, 0.905)","(92.24, 0.922)","(91.32, 0.914)","(91.32, 0.914)","(91.32, 0.914)","(92.69, 0.928)","(92.24, 0.923)","(92.69, 0.928)","(93.15, 0.932)","(90.87, 0.909)","(92.24, 0.923)","(92.69, 0.927)","(90.41, 0.905)","(91.78, 0.919)","(92.69, 0.928)","(92.24, 0.924)","(90.87, 0.91)"
8,"(92.24, 0.923)","(89.5, 0.896)","(87.21, 0.874)","(90.41, 0.905)","(92.69, 0.927)","(91.32, 0.915)","(92.69, 0.928)","(91.78, 0.919)","(90.87, 0.909)","(90.41, 0.905)","(92.24, 0.923)","(92.24, 0.923)","(91.32, 0.914)","(91.32, 0.914)","(91.78, 0.918)","(89.95, 0.9)","(90.41, 0.905)","(92.24, 0.923)","(90.41, 0.905)","(91.32, 0.915)"
9,"(93.61, 0.936)","(90.87, 0.909)","(89.95, 0.901)","(90.87, 0.909)","(93.15, 0.932)","(91.32, 0.914)","(90.87, 0.909)","(91.78, 0.919)","(91.78, 0.918)","(92.24, 0.923)","(90.41, 0.905)","(90.87, 0.91)","(90.41, 0.905)","(90.41, 0.905)","(90.87, 0.91)","(90.41, 0.905)","(91.32, 0.915)","(91.78, 0.919)","(92.24, 0.923)","(91.78, 0.919)"
10,"(96.35, 0.964)","(88.58, 0.888)","(89.95, 0.901)","(90.87, 0.909)","(94.52, 0.945)","(92.24, 0.923)","(92.24, 0.922)","(91.78, 0.919)","(92.24, 0.923)","(91.78, 0.919)","(92.24, 0.923)","(92.24, 0.923)","(90.41, 0.905)","(91.32, 0.914)","(90.87, 0.909)","(90.41, 0.905)","(90.87, 0.91)","(91.32, 0.914)","(91.32, 0.914)","(90.87, 0.909)"
