"(52.51, 0.5)","(52.51, 0.5)","(80.82, 0.811)","(80.37, 0.809)","(79.45, 0.802)","(78.54, 0.794)","(79.45, 0.802)","(78.08, 0.789)","(79.45, 0.803)","(77.17, 0.781)","(79.45, 0.803)","(78.54, 0.794)","(79.45, 0.803)","(79.91, 0.807)","(80.37, 0.811)","(79.45, 0.803)","(79.45, 0.802)","(79.0, 0.798)","(79.91, 0.806)","(80.37, 0.811)"
"(56.16, 0.582)","(70.32, 0.716)","(81.74, 0.823)","(79.0, 0.8)","(78.08, 0.791)","(74.43, 0.756)","(78.08, 0.791)","(73.97, 0.752)","(78.54, 0.795)","(73.97, 0.752)","(78.54, 0.795)","(74.43, 0.756)","(78.08, 0.791)","(77.63, 0.786)","(78.54, 0.795)","(78.08, 0.791)","(77.63, 0.786)","(78.54, 0.795)","(78.08, 0.791)","(77.63, 0.786)"
"(52.51, 0.5)","(52.51, 0.5)","(83.56, 0.836)","(80.37, 0.811)","(80.82, 0.816)","(79.91, 0.808)","(80.82, 0.816)","(79.0, 0.799)","(80.82, 0.816)","(79.91, 0.808)","(80.82, 0.816)","(80.82, 0.816)","(80.82, 0.816)","(80.82, 0.816)","(81.28, 0.82)","(80.82, 0.816)","(79.91, 0.807)","(81.74, 0.824)","(81.28, 0.82)","(80.82, 0.816)"
"(52.51, 0.5)","(70.78, 0.721)","(76.71, 0.776)","(78.54, 0.795)","(78.08, 0.791)","(75.8, 0.769)","(78.54, 0.795)","(75.8, 0.769)","(78.54, 0.795)","(52.51, 0.5)","(52.51, 0.5)","(77.63, 0.787)","(79.45, 0.804)","(79.45, 0.803)","(52.51, 0.5)","(79.91, 0.808)","(77.63, 0.786)","(52.51, 0.5)","(78.08, 0.79)","(79.45, 0.803)"
"(52.51, 0.5)","(52.51, 0.5)","(85.39, 0.859)","(80.82, 0.816)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(80.37, 0.813)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)"
"(52.51, 0.5)","(52.51, 0.5)","(82.65, 0.827)","(78.08, 0.791)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)"
"(52.51, 0.5)","(52.51, 0.5)","(78.08, 0.791)","(78.54, 0.795)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)"
"(52.51, 0.5)","(52.51, 0.5)","(79.45, 0.804)","(79.91, 0.808)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)"
"(52.51, 0.5)","(52.51, 0.5)","(82.65, 0.834)","(79.45, 0.804)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)"
"(52.51, 0.5)","(52.51, 0.5)","(86.3, 0.865)","(80.37, 0.813)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)"
"(52.51, 0.5)","(52.51, 0.5)","(85.84, 0.86)","(80.82, 0.817)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)","(81.28, 0.822)","(52.51, 0.5)","(52.51, 0.5)","(52.51, 0.5)"
