0,1,2,3,4,5,6,7,8,9
1,0.58,0.61,0.47,0.13,0.5,0.0,0.6575342465753424,0.22,MIT
2,0.43,0.67,0.48,0.27,0.5,0.0,0.726027397260274,0.22,MIT
3,0.64,0.62,0.49,0.15,0.5,0.0,0.726027397260274,0.22,MIT
4,0.58,0.44,0.57,0.13,0.5,0.0,0.7397260273972603,0.22,NUC
5,0.42,0.44,0.48,0.54,0.5,0.0,0.6575342465753424,0.22,MIT
6,0.51,0.4,0.56,0.17,0.5,0.6024096385542169,0.6712328767123288,0.22,CYT
7,0.5,0.54,0.48,0.65,0.5,0.0,0.726027397260274,0.22,MIT
8,0.48,0.45,0.59,0.2,0.5,0.0,0.7945205479452054,0.34,NUC
9,0.55,0.5,0.66,0.36,0.5,0.0,0.6712328767123288,0.22,MIT
10,0.4,0.39,0.6,0.15,0.5,0.0,0.7945205479452054,0.3,CYT
11,0.43,0.39,0.54,0.21,0.5,0.0,0.726027397260274,0.27,NUC
12,0.42,0.37,0.59,0.2,0.5,0.0,0.7123287671232877,0.29,NUC
13,0.4,0.42,0.57,0.35,0.5,0.0,0.726027397260274,0.25,CYT
14,0.6,0.4,0.52,0.46,0.5,0.0,0.726027397260274,0.22,MIT
15,0.66,0.55,0.45,0.19,0.5,0.0,0.6301369863013699,0.22,MIT
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CYT
17,0.47,0.39,0.5,0.11,0.5,0.0,0.6712328767123288,0.4,CYT
18,0.58,0.47,0.54,0.11,0.5,0.0,0.6986301369863014,0.26,NUC
19,0.5,0.34,0.55,0.21,0.5,0.0,0.6712328767123288,0.22,NUC
20,0.61,0.6,0.55,0.21,0.5,0.0,0.684931506849315,0.25,NUC
21,0.45,0.4,0.5,0.16,0.5,0.0,0.684931506849315,0.22,CYT
22,0.43,0.44,0.48,0.22,0.5,0.0,0.6986301369863014,0.22,CYT
23,0.73,0.63,0.42,0.3,0.5,0.0,0.6712328767123288,0.22,CYT
24,0.43,0.53,0.52,0.13,0.5,0.0,0.7534246575342467,0.22,CYT
25,0.46,0.53,0.52,0.15,0.5,0.0,0.7945205479452054,0.22,CYT
26,0.51,0.51,0.52,0.51,0.5,0.0,0.7397260273972603,0.22,MIT
